title,description,category
Carcassonne Big Box 6 edycja polska,"W pudełku znajdziesz podstawową wersję rewelacyjnej gry Carcassonne, dwa duże dodatki oraz dziewięć mini dodatków, z czego siedem dostępnych wyłącznie w tym pakiecie!",Familijne
Magiczny labirynt (w metalowej puszce),Gra dla całej rodziny o odpowiednim umieszczaniu kości!,Familijne
Jeszcze raz! (Noch Mal!),Genialna gra kościana dla całej rodziny!,Familijne
Pędzące żółwie,"Prędzej, prędzej, kto pierwszy!!",Familijne
Czego chcesz? (Gönnen Können),Fascynująca gra kościana dla całej rodziny!,Familijne
Cardline: Dinozaury,"Gra ""Cardline: Dinozaury"" jest podobna do ""Cardline: Zwierzęta"", ale jest o dinozaurach! Karty przedstawiają te prehistoryczne gady, ale także inne zwierzęta",Familijne
Brikks,Genialna gra kościana dla całej rodziny!,Familijne
EuroBusiness (Eurobiznes),Legenda wśród gier opartych na klasycznym Monopoly,Familijne
Azul: Letni pawilon,Kto najlepiej wywiąże się z zadania powierzonego przez Króla?,Familijne
Owocowy zawrót głowy,Kwadratowa truskawka? Czemu nie! Witaminy dla waszego mózgu!,Familijne
Kotobirynt,"Ciemną nocą grupa małych kotków (i całkiem sporych kotów) zgubiła się w plątaninie dachów i uliczek nocnego miasta. Takie małe, puchate kotki... czasami",Familijne
Century: Nowy Świat,"Nowy świat to trzecia gra z popularnej serii Century, która spina całość w unikatową trylogię",Familijne
Patchwork Doodle (Turlaj i Rysuj),"W grze Patchwork Doodle jej autor, Uwe Rosenberg, zaprasza nas do zupełnie nowej zabawy, bazującej na podstawowej grze Patchwork. Tym razem nie będziemy układać żetonów na planszy. Będziemy je rysować!",Familijne
Fruit Salad,"W grze Fruit Salad gracze wspólnie tworzą sałatkę owocową - czyli starają się pozbyć z ręki kart prezentująych owoce, jednocześnie chcąc jak najszyb",Familijne
Rummikub,Gra dla całej rodziny,Familijne
Termity, Termity (Isoptera) – rząd owadów społecznych z podgromady uskrzydlonych. Na pierwszy rzut oka na spalon,Familijne
Kolejowy Szlak. Płomienna czerwień,"W Kolejowym Szlaku gracze rzucają kośćmi, a następnie rysują trasy na swoich planszach. Pod koniec gry zdobywają punkty za swoje najdłuższe trasy oraz za stworzenie sieci połączeń. Muszą jednak uważać, bo za niezamknięte trasy mogą stracić punkty.",Familijne
Grajeczka,"Bądź pierwszym, który ukończy swoją opowieść!",Familijne
7 Cudów Świata: Pojedynek,"Poprowadź swoją cywilizację ku świetności, dbając o jej rozwój militarny i naukowy oraz konstruując niezwykłe Budowle i Cuda. 7 Cudów Świata: Pojedyn",Familijne
GOBBLETY,Kółko i krzyżyk do kwadratu!,Familijne
Zapraszamy ponownie do podziemi,"Wiedzieliśmy, że wrócisz!",Familijne
Dixit Odyseja,Odyseja wyobraźni po raz drugi,Familijne
Lutecja,Lutecja to szybka do wytłumaczenia gra z elementami licytacji i blefu.,Familijne
Aqua Brunch (edycja polska),Zbliża się pora posiłku!,Familijne
Hack Trick,"W Hack Trick dwóch hakerów rywalizuje o to, który z nich pierwszy złamie zabezpieczenia serwera, przez wprowadzenie trzycyfrowego hasła przed przeciwnikiem.",Familijne
Azul (edycja polska),"W grze Azul wcielisz się w artystę, układającego przepiękne mozaiki z Azulejos na ścianach pałacu królewskiego w Évorze.",Familijne
Zaginione Dziedzictwo 4: Kronika II - Gwiezdne Ostrze,"Zaginione Dziedzictwo to gra ryzyka, dedukcji i szczęścia. ",Familijne
Sherlook,Wykaż się swoja niezwykłą zdolnością obserwacji,Familijne
Patchwork (edycja polska),"Patchwork to metoda szycia, w której łączy się małe kawałki materiału w większą całość, tworząc nowy wzór. ",Familijne
Duuuszki za pięć 12:00,„Duuuszki za pięć 12:00” to najnowsza wersja imprezowego hitu. ,Familijne
Wiewióry,"Wiewióry wydają się być zwodniczo nieskomplikowaną grą. Między Twoją Wiewiórą, a orzeszkiem znajdują się tylko trzy kafelki, a jedyne co Ty musisz zrobić, to po kolei powiedzieć, co znajduje się na ich odwrocie.  Najpierw oczywiście strzelasz, powiedzmy ""Liść!"" - odwracasz i udało się! Faktycznie był tam liść. Zostawiasz kafelek obrócony z liściem do góry.",Familijne
Reef (edycja polska),"Abstrakcyjna gra logiczna, w której zadaniem graczy jest stworzenie najpiękniejszej rafy koralowej",Familijne
8bitBox,"Stworzona przez IELLO gra 8Bit Box, przenosi świat najlepszych gier wideo wprost na twój stół. ",Familijne
Klub Detektywów,"Poznaj niesamowitą grę imprezową, która z miejsca stała się światowym hitem!",Familijne
Katamino Gra rodzinna,Katamino Gra rodzinna jest dynamiczną układanką i zmuszająca do myślenia zagadką. Rozwija zmysł obserwacji i zdolność logicznego myślenia.,Familijne
Flick ‘em Up! - Dzika Strzelanka,Zręcznościowa gra na Dzikim Zachodzie.,Familijne
Głębia,Wspólnie wykonajcie wszystkie zadania,Familijne
Small World (edycja polska),"Small World to gra, w której gracze prowadzą swoje nacje w świecie, który jest po prostu za mały, aby pomieścić je wszystkie...",Familijne
Sen,Stwórz własny sen!,Familijne
Projekt: miasteczko,Gratka dla miłośników SimCity,Familijne
Blisko znaku! (w metalowej puszce),Ekscytująca gra kościana!,Familijne
Pingwiny z Madagaskaru,"Oficer X jest już bliski zdemaskowania naszej kryjówki! By przygotować się na to starcie, rozegramy tu zaraz planszową symulację. Każdy z Was otrzyma zad",Familijne
Story Cubes,"9 kości, 54 obrazy, nieskończona ilość opowieści",Familijne
Zamek,Światowy bestseller!,Familijne
Świat Dysku: Sekary,"Sekary zostały wynalezione przez Roberta Dearhearta, jako pierwszy system tele-komunikacji. Wykorzystując złożoną technologię semaforową, operatorzy Sekarów",Familijne
Carcassonne (edycja 2016),Najnowsze wydanie z zawierające dodatki Opat oraz Rzeka!,Familijne
Kotostrofa,"Szybka karcianka pełna kotów, kociaków i myszy!",Familijne
Timeline: Wynalazki,Co wynaleziono najpierw: żarówkę czy okulary? Co powstało wcześniej: Empire State Building czy pierwsze wydanie Władcy Pierścieni J.R.R Tolkiena? Alfabet Mor,Familijne
Story Cubes: Science Fiction,"9 kości, 54 obrazy, nieskończona ilość opowieści",Familijne
Łowcy Skarbów,"Tylko najodważniejsi poszukiwacze skarbów zapuszczają się w mroczną otchłań Jaskini Lawy, przedzierają się przez chaszcze Splątanej Dżungli, i ryzykują ż",Familijne
Kupcy z Osaki,"W Epoce Edo, higaki kaisen (statki handlowe) były wykorzystywane do transportowania towarów do Edo (obecnie Tokio), centrum politycznej siły w Japonii. Tam, Fudasashi (handlowcy) czekali na wyładunek różnego rodzaju dóbr z Osaki, centrum kupieckiego Japonii.",Familijne
Quiz przyroda i geografia Polski,"""Quiz przyroda i geografia Polski"" to gra, której uczestnicy biorą udział w emocjonującej zabawie, a jednocześnie zdobywają wiele ciekawych informacji na temat geografii i przyrody Polski.",Familijne
Fauna (druga edycja),A co Ty wiesz o zwierzętach?,Familijne
Zaginione Dziedzictwo 3: Kronika II - Wieża Białozłota,"Zaginione Dziedzictwo to gra ryzyka, dedukcji i szczęścia. ",Familijne
Kociaki Łobuziaki,Gra o kotach biegających za kłębkiem!,Familijne
Kapitan Sknera,"Kaptan Sknera to interaktywna gra o podziale pirackich zdobyczy dla 2-6 graczy, z łupami typu: złote klucze, perły, monety, diamenty i flagi pirackie.",Familijne
Na Językach,"Wyposażeni w klejące języki, musicie nimi chwycić owada w określonym kolorze i kształcie. ",Familijne
Nowy Jork 1901,Jest rok 1901 i moda na olbrzymie wieżowce kwitnie w najlepsze. ,Familijne
Zbuduj swoje miasto,Jakie miałoby być miasto naszych marzeń?,Familijne
Ishtar,Potężna bogini Ishtar usłyszała twe wołanie!,Familijne
Pictomania (druga edycja),Druga edycja światowego hitu imprezowego,Familijne
Reykholt,"Gracze wcielają się w ogrodników, utrzymujących się z uprawy warzyw na pięknej Islandii!",Familijne
Morpheus: Dream Making Game,Stwórz potężne sny i zostań pomocnikiem Morfeusza,Familijne
Piraci 7 Mórz,siej postrach na akwenach siedmiu mórz!,Familijne
Spacer po Burano,Zaproś przyjaciół na spacer po włoskim Burano!,Familijne
Takie Życie!,"Trudno uwierzyć, że te historie wydarzyły się naprawdę!",Familijne
Maki Stack,Zamówienie złożone - czas na pokaz przygotowania sushi!,Familijne
Colt Express (edycja polska),Zabawna i ekscytująca gra w napad na pociąg!,Familijne
Magia i Myszy,W grze Magia i Myszy wcielicie się w bohaterów lojalnych dobremu Królowi Andonowi. ,Familijne
Cappuccino,Delektuj się wyśmienitą rozgrywką!,Familijne
NARABI (EDYCJA POLSKA),"Dotrzyjcie do wspólnego celu w jak najmniejszej liczbie ruchów. Aby odnieść sukces, musicie połączyć swoje siły, bo w tej grze liczy się praca zespołowa, pamięć, taktyka i precyzja.",Familijne
Twoja kolej,Stoi na stacji lokomotywa... – Powiększ swój majątek poprzez inwestycje w tabor kolejowy.,Familijne
Gatunki,Wesoła gra rodzinna o zwierzętach.,Familijne
Zaginione Dziedzictwo 2: Kronika I - Latający Ogród,"Zaginione Dziedzictwo to gra ryzyka, dedukcji i szczęścia.",Familijne
Dixit,Obraz wart jest tysiąca słów!,Familijne
Fasolki,Polska edycja wyśmienitej gry karcianej!,Familijne
Jurassic Snack,"Zjeść, czy być zjedzonym... oto jest pytanie!",Familijne
